"","x"
"1219","PPP1R13L"
"1220","RASEF"
"1221","F2RL3"
"1222","CAPN2"
"1223","A4GALT"
"1224","CDC42SE1"
"1225","KLHL18"
"1226","ASRGL1"
"1227","YBX3"
"1228","SINHCAF"
"1229","RIOK1"
"1230","MAFG"
"1231","RNF168"
"1232","USP42"
"1233","TMX2P1"
"1234","DAPK3"
"1235","NOP14-AS1"
"1236","DAXX"
"1237","FAM104A"
"1238","ZNRD2"
"1239","MYL12B"
"1240","PPP2CB"
"1241","SLC25A51"
"1242","GPAT3"
"1243","RHOC"
"1244","MEAF6"
"1245","TRAPPC4"
"1246","ZNF408"
"1247","MAP1S"
"1248","TENT4A"
"1249","FOXK2"
"1250","CDK9"
"1251","ARPP19"
"1252","PLEKHA8"
"1253","SHOC2"
"1254","ARF6"
"1255","VEZF1"
"1256","S100A16"
"1257","LRRC8E"
"1258","DDA1"
"1259","BHLHA15"
"1260","E2F6"
"1261","AMD1"
"1262","CSRNP2"
"1263","CCNK"
"1264","PAFAH1B2"
"1265","ATG101"
"1266","SELENOS"
"1267","TIMM22"
"1268","KPNA2"
"1269","ILF2"
"1270","PIP5K1A"
"1271","HNRNPA0"
"1272","PPME1"
"1273","GRPEL2"
"1274","FKBP14"
"1275","TMEM39A"
"1276","KCTD9"
"1277","GBP2"
"1278","GAN"
"1279","AGO2"
"1280","PDZD8"
"1281","YES1"
"1282","HIPK3"
"1283","STRN3"
"1284","PPRC1"
"1285","B4GALT5"
"1286","FXR2"
"1287","EIF5"
"1288","SBDS"
"1289","UBAP1"
"1290","SNRNP27"
"1291","NUP58"
"1292","CNOT9"
"1293","IPPK"
"1294","KIF5B"
"1295","CBFB"
"1296","ZUP1"
"1297","URB2"
"1298","GNL3"
"1299","NAA15"
"1300","PRELID3B"
"1301","GORASP2"
"1302","SRP68"
"1303","UTP11"
"1304","YRDC"
"1305","NXT1"
"1306","ADO"
"1307","TRAPPC14"
"1308","PSTPIP2"
"1309","TGFA"
"1310","MSN"
"1311","HIF1A"
"1312","LIMK2"
"1313","RHOG"
"1314","LYN"
"1315","STK4"
"1316","UBASH3B"
"1317","DDHD1"
"1318","TLCD3A"
"1319","LONRF2"
"1320","ARF1"
"1321","CCT8"
"1322","UBE2J1"
"1323","UFM1"
"1324","PRELID1"
"1325","ARF4"
"1326","LRRC59"
"1327","EXOSC4"
"1328","E2F4"
"1329","RRP1"
"1330","DKC1"
"1331","KCTD5"
"1332","PDRG1"
"1333","SURF6"
"1334","CDYL2"
"1335","HNRNPM"
"1336","FAM89A"
"1337","MCMBP"
"1338","SEC23IP"
"1339","BMS1"
"1340","FUBP1"
"1341","TMEM165"
"1342","RCC2"
"1343","NUDCD1"
"1344","RNPS1"
"1345","UCK2"
"1346","NOP56"
"1347","TCERG1"
"1348","PUM3"
"1349","PNO1"
"1350","WDR43"
"1351","BYSL"
"1352","NOP16"
"1353","NPM1"
"1354","DCAF13"
"1355","MAGOH"
"1356","TRMT6"
"1357","LTV1"
"1358","FIP1L1"
"1359","PAK1IP1"
"1360","RRS1"
"1361","BRIX1"
"1362","ENSG00000249685"
"1363","EMSLR"
"1364","SLC12A2"
"1365","SLC35E4"
"1366","PDLIM4"
"1367","ADAM9"
"1368","ENSG00000250899"
"1369","LHFPL2"
"1370","SYNJ2"
"1371","HMGA1"
"1372","SLC3A2"
