"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ensembl","symbol"
"137.161","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000122641","INHBA"
"137.162","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000171105","INSR"
"137.163","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000150093","ITGB1"
"137.164","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000068796","KIF2A"
"137.165","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000138160","KIF11"
"137.166","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000079616","KIF22"
"137.167","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000108424","KPNB1"
"137.168","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000117632","STMN1"
"137.169","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000105486","LIG1"
"137.170","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000160789","LMNA"
"137.171","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000162337","LRP5"
"137.172","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000164109","MAD2L1"
"137.173","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000166949","SMAD3"
"137.174","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000047849","MAP4"
"137.175","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000125952","MAX"
"137.176","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000073111","MCM2"
"137.177","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000112118","MCM3"
"137.178","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000104738","MCM4"
"137.179","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000100297","MCM5"
"137.180","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000076003","MCM6"
"137.181","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000166508","MCM7"
"137.182","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000135679","MDM2"
"137.183","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000198625","MDM4"
"137.184","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000169057","MECP2"
"137.185","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000134138","MEIS2"
"137.186","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000133895","MEN1"
"137.187","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000148773","MKI67"
"137.188","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000184481","FOXO4"
"137.189","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000020426","MNAT1"
"137.190","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000020922","MRE11"
"137.191","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000095002","MSH2"
"137.192","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000185499","MUC1"
"137.193","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000118513","MYB"
"137.194","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000185697","MYBL1"
"137.195","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000101057","MYBL2"
"137.196","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000136997","MYC"
"137.197","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000133026","MYH10"
"137.198","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000058272","PPP1R12A"
"137.199","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000132780","NASP"
"137.200","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000104320","NBN"
"137.201","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000168385","SEPT2"
"137.202","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000117650","NEK2"
"137.203","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000136098","NEK3"
"137.204","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000167034","NKX3-1"
"137.205","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000111596","CNOT2"
"137.206","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000080802","CNOT4"
"137.207","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000149308","NPAT"
"137.208","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000137497","NUMA1"
"137.209","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000108559","NUP88"
"137.210","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000136811","ODF2"
"137.211","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000085840","ORC1"
"137.212","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000115942","ORC2"
"137.213","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000115947","ORC4"
"137.214","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000164815","ORC5"
"137.215","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000089220","PEBP1"
"137.216","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000007168","PAFAH1B1"
"137.217","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000007372","PAX6"
"137.218","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000185630","PBX1"
"137.219","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000078674","PCM1"
"137.220","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000132646","PCNA"
"137.221","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000160299","PCNT"
"137.222","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000131165","CHMP1A"
"137.223","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000100311","PDGFB"
"137.224","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000113721","PDGFRB"
"137.225","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000058091","CDK14"
"137.226","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000085563","ABCB1"
"137.227","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000127445","PIN1"
