"","x"
"945","Nectin3"
"946","Kcnq1"
"947","Haus5"
"948","Slc25a24"
"949","Cep72"
"950","Crip1"
"951","Fbln2"
"952","Pts"
"953","Adgrl4"
"954","Rnaseh2c"
"955","Prickle1"
"956","Gm45910"
"957","Idnk"
"958","Samhd1"
"959","Syt3"
"960","Mapk15"
"961","Gm6545"
"962","Tcf24"
"963","Fam25c"
"964","Cept1"
"965","Slc30a10"
"966","H2-DMa"
"967","Gm6135"
"968","Ormdl1"
"969","Ciita"
"970","Ccdc50"
"971","Usp45"
"972","Epb41l5"
"973","Cnmd"
"974","Rnf170"
"975","Tars"
"976","Snx14"
"977","Fbxo33"
"978","H2-Ab1"
"979","Cd74"
"980","Kyat3"
"981","H2-Aa"
"982","Tmem229b"
"983","Nudt21"
"984","Prdx4"
"985","Magt1"
"986","Ero1b"
"987","Gm18562"
"988","Sec11a"
"989","Prkar2a"
"990","Ift20"
"991","Gale"
"992","Selenos"
"993","Nabp1"
"994","L2hgdh"
"995","Erg28"
"996","Gm5809"
"997","Tmem97"
"998","Pcyox1"
"999","9030619P08Rik"
"1000","C1galt1"
"1001","Xkr9"
"1002","Papss1"
"1003","Etnk1"
"1004","Cyp51"
"1005","Cars"
"1006","Spcs3"
"1007","Erp44"
"1008","Hmgcs1"
"1009","Fdps"
"1010","Gm48326"
"1011","Uggt1"
"1012","Gm43031"
"1013","Nucb2"
"1014","Txndc5"
"1015","Ssr1"
"1016","Ostc"
"1017","Ssr3"
"1018","Klhl23"
"1019","Gm13230"
"1020","Ammecr1"
"1021","Mest"
"1022","Tpst1"
"1023","Spata6l"
"1024","Snx32"
"1025","Aard"
"1026","Gm12229"
"1027","Gm7399"
"1028","Gm7551"
"1029","Gm6397"
"1030","Ces2g"
"1031","Pdxk"
"1032","Slc46a3"
"1033","F11"
"1034","Gm6153"
"1035","Gm9200"
"1036","Rxylt1"
"1037","Fam171b"
"1038","Tspan33"
"1039","Colec12"
"1040","Lama1"
"1041","Angptl2"
"1042","Ctnnal1"
"1043","Lbh"
"1044","Prnp"
"1045","Limd2"
"1046","Rfc5"
"1047","Sfxn5"
"1048","Nudt16l1"
"1049","Clic5"
"1050","Slc2a9"
"1051","Alg6"
"1052","Ttc39c"
"1053","Dock4"
"1054","Sh3pxd2a"
"1055","2610528J11Rik"
"1056","Hdac11"
"1057","Gm16415"
"1058","Apol7e"
"1059","Apol7b"
"1060","Mov10"
"1061","BC024139"
"1062","Prkra"
"1063","Dsg1b"
"1064","Dsg1a"
"1065","Gm16291"
"1066","Mettl7a1"
"1067","Prom1"
"1068","BC024386"
"1069","Abcg8"
"1070","Cyp2a22"
"1071","Aatk"
"1072","Srd5a1"
"1073","Cldn1"
"1074","9430064I24Rik"
"1075","Naglu"
"1076","Gpr12"
"1077","Kremen1"
"1078","Rdm1"
"1079","Olfm1"
"1080","Calcrl"
"1081","1700001C19Rik"
"1082","Ces2e"
"1083","Tmem164"
"1084","Shf"
"1085","2610507I01Rik"
"1086","Hnmt"
"1087","Gulo"
"1088","Zcchc14"
"1089","Nr6a1"
"1090","Clec14a"
"1091","Itm2c"
"1092","Aqp1"
"1093","Asah1"
"1094","Gm2a"
"1095","Cyp2c23"
"1096","Galm"
"1097","Ces2a"
"1098","Gm7208"
"1099","Tmem141"
"1100","Car1"
"1101","Glo1"
"1102","Bri3bp"
"1103","Dnase1l3"
"1104","Tmprss6"
"1105","Cryl1"
"1106","Slc16a2"
"1107","Slco1a1"
"1108","Abca8a"
"1109","Ugt2b36"
"1110","Gm7855"
"1111","Slc46a1"
"1112","Abcg5"
"1113","Slc44a3"
"1114","Aco1"
"1115","Gm6652"
"1116","Sult1c2"
"1117","Gm4756"
"1118","Sirt4"
"1119","Nox4"
"1120","Aadac"
"1121","C8g"
"1122","Gm43096"
"1123","Iyd"
"1124","Dsg1c"
"1125","Bco2"
"1126","Abhd14b"
"1127","Ccn4"
"1128","Nars2"
"1129","Dct"
"1130","Pepd"
"1131","Hectd2os"
"1132","Ugt2b1"
"1133","Ido2"
"1134","Umad1"
"1135","Gm11225"
"1136","Gm36435"
"1137","Gm12138"
"1138","Psme2b"
"1139","Rps23rg1"
"1140","Cela1"
"1141","Gm8146"
"1142","Clec2h"
"1143","Vill"
"1144","Glud-ps"
"1145","Gm7407"
"1146","Ptgr1"
"1147","Gm5499"
"1148","Ces1g"
"1149","Cyp2c50"
"1150","Ptprk"
"1151","Nqo2"
"1152","Atm"
"1153","Lactb2"
"1154","Adra1b"
"1155","Idi1-ps5"
"1156","Acat2"
"1157","Gm4956"
"1158","Gstm7"
"1159","Chac1"
"1160","Arhgap12"
"1161","Car5a"
"1162","Erap1"
"1163","Zfp773"
"1164","Bet1"
"1165","Acss2"
"1166","Pdzk1ip1"
"1167","Sucnr1"
"1168","Spcs2-ps"
"1169","Gm11425"
"1170","Gm9396"
"1171","Gm10275"
"1172","Gm7730"
"1173","Rpa1"
"1174","Fmn1"
"1175","Gm13736"
"1176","Cutal"
"1177","Smad9"
"1178","Tm7sf2"
"1179","Il18"
"1180","Tfpi2"
"1181","Jak2"
"1182","Gm14388"
"1183","Pdgfc"
"1184","Gm7967"
"1185","Gm7488"
"1186","Gm44126"
"1187","9930111J21Rik1"
"1188","Lrit2"
"1189","Tmem50a"
"1190","Txnrd3"
"1191","Npdc1"
"1192","Usp28"
"1193","Lrpap1"
"1194","Sgf29"
"1195","Zfand4"
"1196","Samd8"
"1197","Golm1"
"1198","Zfp652"
"1199","Castor2"
"1200","Gm9535"
"1201","Slc2a2"
"1202","Gm21286"
"1203","Ap5m1"
"1204","Col3a1"
"1205","Klhl13"
"1206","Rbm41"
"1207","Tbc1d4"
"1208","Bend7"
"1209","Mocs1"
"1210","Tmcc1"
"1211","Tmem170b"
